2017, INVENTORY, 27000
2016, INVENTORY, 31000
2015, INVENTORY, 27000
2014, INVENTORY, 29000
2013, INVENTORY, 30000
2012, INVENTORY, 25000
2011, INVENTORY, 23000
2010, INVENTORY, 26000
2009, INVENTORY, 26000
2008, INVENTORY, 28000
2007, INVENTORY, 28000
2006, INVENTORY, 26000
2005, INVENTORY, 24000
2004, INVENTORY, 24000
2003, INVENTORY, 25000
2002, INVENTORY, 22000
2001, INVENTORY, 23000
2000, INVENTORY, 24000
1999, INVENTORY, 26000
1998, INVENTORY, 30000
1997, INVENTORY, 32000
1996, INVENTORY, 34000
1995, INVENTORY, 32000
1994, INVENTORY, 43000
1993, INVENTORY, 42000
1992, INVENTORY, 47000
1991, INVENTORY, 45000
1990, INVENTORY, 47000
1989, INVENTORY, 47000
1988, INVENTORY, 36000
1987, INVENTORY, 35000
